kegg	R00001	MNXR73598
kegg	R00002	MNXR73599
kegg	R00004	MNXR4373
kegg	R00005	MNXR681
kegg	R00006	MNXR392
kegg	R00008	MNXR7097
kegg	R00009	MNXR1045
kegg	R00010	MNXR5123
kegg	R00011	MNXR7562
kegg	R00012	MNXR8322
kegg	R00013	MNXR2736
kegg	R00014	MNXR73600
kegg	R00015	MNXR26499
kegg	R00017	MNXR70898
kegg	R00018	MNXR3050
kegg	R00019	MNXR70976
kegg	R00021	MNXR70858
kegg	R00022	MNXR5635
kegg	R00023	MNXR7379
kegg	R00024	MNXR4589
kegg	R00025	MNXR71234
kegg	R00026	MNXR14507
kegg	R00027	MNXR8541
kegg	R00028	MNXR14508
kegg	R00029	MNXR70889
kegg	R00031	MNXR55970
kegg	R00032	MNXR941
kegg	R00033	MNXR73601
kegg	R00034	MNXR73602
kegg	R00036	MNXR4380
kegg	R00038	MNXR8539
kegg	R00039	MNXR62392
kegg	R00041	MNXR73603
kegg	R00042	MNXR70760
kegg	R00043	MNXR7584
kegg	R00044	MNXR7405
kegg	R00045	MNXR5173
kegg	R00047	MNXR73604
kegg	R00048	MNXR6261
kegg	R00049	MNXR7836
kegg	R00052	MNXR70798
kegg	R00053	MNXR6314
kegg	R00054	MNXR6270
kegg	R00055	MNXR14514
kegg	R00056	MNXR56555
kegg	R00057	MNXR14516
kegg	R00058	MNXR7601
kegg	R00059	MNXR587
kegg	R00060	MNXR7452
kegg	R00061	MNXR7451
kegg	R00062	MNXR7990
kegg	R00063	MNXR7739
kegg	R00066	MNXR69846
kegg	R00067	MNXR73605
kegg	R00068	MNXR70191
kegg	R00069	MNXR47198
kegg	R00070	MNXR70487
kegg	R00072	MNXR14519
kegg	R00073	MNXR73606
kegg	R00074	MNXR73607
kegg	R00075	MNXR8221
kegg	R00076	MNXR14521
kegg	R00077	MNXR14522
kegg	R00078	MNXR2250
kegg	R00080	MNXR7190
kegg	R00081	MNXR68605
kegg	R00082	MNXR14523
kegg	R00083	MNXR73608
kegg	R00084	MNXR2980
kegg	R00085	MNXR889
kegg	R00086	MNXR892
kegg	R00087	MNXR3901
kegg	R00088	MNXR891
kegg	R00089	MNXR485
kegg	R00090	MNXR5868
kegg	R00091	MNXR14525
kegg	R00092	MNXR7459
kegg	R00093	MNXR31608
kegg	R00094	MNXR13448
kegg	R00095	MNXR70868
kegg	R00097	MNXR68478
kegg	R00099	MNXR73609
kegg	R00100	MNXR14528
kegg	R00101	MNXR73610
kegg	R00102	MNXR69518
kegg	R00103	MNXR3745
kegg	R00104	MNXR3759
kegg	R00105	MNXR8287
kegg	R00106	MNXR14530
kegg	R00107	MNXR70937
kegg	R00108	MNXR14532
kegg	R00109	MNXR62008
kegg	R00111	MNXR69548
kegg	R00112	MNXR3771
kegg	R00113	MNXR7561
kegg	R00114	MNXR31609
kegg	R00115	MNXR2826
kegg	R00118	MNXR3767
kegg	R00119	MNXR55745
kegg	R00120	MNXR7383
kegg	R00122	MNXR890
kegg	R00123	MNXR70675
kegg	R00124	MNXR883
kegg	R00125	MNXR734
kegg	R00126	MNXR886
kegg	R00127	MNXR479
kegg	R00128	MNXR6656
kegg	R00129	MNXR57179
kegg	R00130	MNXR1772
kegg	R00131	MNXR5297
kegg	R00132	MNXR2856
kegg	R00134	MNXR6148
kegg	R00135	MNXR59113
kegg	R00137	MNXR3827
kegg	R00138	MNXR4374
kegg	R00139	MNXR59114
kegg	R00140	MNXR73611
kegg	R00141	MNXR8304
kegg	R00143	MNXR7368
kegg	R00145	MNXR73612
kegg	R00146	MNXR73613
kegg	R00148	MNXR73614
kegg	R00149	MNXR6370
kegg	R00150	MNXR1064
kegg	R00152	MNXR14540
kegg	R00153	MNXR59117
kegg	R00155	MNXR69526
kegg	R00156	MNXR69530
kegg	R00157	MNXR73615
kegg	R00158	MNXR70052
kegg	R00159	MNXR69527
kegg	R00160	MNXR68871
kegg	R00161	MNXR69002
kegg	R00162	MNXR73616
kegg	R00164	MNXR72337
kegg	R00165	MNXR73617
kegg	R00166	MNXR73618
kegg	R00167	MNXR48364
kegg	R00168	MNXR73619
kegg	R00169	MNXR73620
kegg	R00170	MNXR73621
kegg	R00172	MNXR73622
kegg	R00173	MNXR4543
kegg	R00174	MNXR4538
kegg	R00175	MNXR6730
kegg	R00177	MNXR3487
kegg	R00178	MNXR484
kegg	R00179	MNXR5646
kegg	R00180	MNXR8220
kegg	R00181	MNXR714
kegg	R00182	MNXR717
kegg	R00183	MNXR3880
kegg	R00184	MNXR735
kegg	R00185	MNXR486
kegg	R00187	MNXR7026
kegg	R00188	MNXR965
kegg	R00189	MNXR3769
kegg	R00190	MNXR68290
kegg	R00191	MNXR4127
kegg	R00192	MNXR68320
kegg	R00193	MNXR7025
kegg	R00194	MNXR579
kegg	R00195	MNXR68645
kegg	R00196	MNXR69303
kegg	R00197	MNXR68632
kegg	R00198	MNXR59127
kegg	R00199	MNXR4414
kegg	R00200	MNXR4545
kegg	R00203	MNXR10051
kegg	R00205	MNXR682
kegg	R00206	MNXR4389
kegg	R00207	MNXR4372
kegg	R00208	MNXR8478
kegg	R00209	MNXR4132
kegg	R00210	MNXR6962
kegg	R00211	MNXR7227
kegg	R00212	MNXR4175
kegg	R00213	MNXR8595
kegg	R00214	MNXR3470
kegg	R00215	MNXR3382
kegg	R00216	MNXR3471
kegg	R00217	MNXR3932
