3OAR60	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
EX_g3pg_LPAREN_e_RPAREN_	['']
3HADi180	['']
MAN1PT	['SCO1388', 'SCO3039']
EX_arg_DASH_L_LPAREN_e_RPAREN_	['']
EARai170y	['SCO1814']
EARai170x	['SCO1814']
ADCYRS	['SCO1848']
EX_malttr_LPAREN_e_RPAREN_	['']
H2St1	['s0001']
EAR120x	['SCO1814']
EAR120y	['SCO1814']
UPP3MT	['SCO1553', 'SCO3317']
PC8XM	['SCO3282']
MLTP2	['SCO5444']
MLTP3	['SCO5444']
ECOAH12	['SCO6732']
EX_23ccmp_LPAREN_e_RPAREN_	['']
DMBZIDS	['']
CBL1abc	['']
SHCHF	['SCO1553']
EX_mobd_LPAREN_e_RPAREN_	['']
UM4PCP	['SCO6489']
UPP3S	['SCO3317']
ORNabc	[['SCO2828', 'SCO2829', 'SCO2830', 'SCO2831']]
GLUN	['SCO7049']
FEOXAMBabc	[['SCO7398', 'SCO7399', 'SCO7400'], 'SCO2780']
PSP_L	['SCO1808']
IGPS	['SCO2039', 'SCO3211']
VALTRS	['SCO2615']
PYDXt	['']
PYDXK	['']
MALTTRabc	[['SCO2229', 'SCO2230', 'SCO2231', 'SCO4240']]
OXCDC	['SCO6584']
RMK	['SCO0814']
RMI	['']
PSSAai170	['SCO6467']
EX_glyc_LPAREN_e_RPAREN_	['']
3OAS100	['SCO0548', 'SCO2390', 'SCO1266']
CYSDS	['SCO0435', 'SCO0731', 'SCO3920']
EX_ni2_LPAREN_e_RPAREN_	['']
FACOAL60	['SCO6196', 'SCO6195', 'SCO2131', 'SCO2444', 'SCO2561', 'SCO2720', 'SCO3436', 'SCO4006', 'SCO5983', 'SCO6552', 'SCO6968', 'SCO7244']
ORNTA	['SCO1223']
GALIGH	['SCO0274', 'SCO0541']
NI2uabc	[['SCO6451', 'SCO6452', 'SCO6453', 'SCO6454'], 'SCO2499']
CU2abc	['SCO6460']
3OASai70	['SCO0548', 'SCO2390', 'SCO1266']
3OARi90	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
OPMEACPD	['']
MCTP2A	['SCO3847', 'SCO5301', 'SCO2608', 'SCO2090']
AMAOTr	['SCO1245']
OPMEACPS	['SCO0548', 'SCO2390', 'SCO1266']
OPMEACPR	['SCO0330', 'SCO1345', 'SCO1346', 'SCO1815', 'SCO1831', 'SCO4501', 'SCO4681']
LIPATPT	['SCO6423']
APG3PATai150	['']
3OASi180	['SCO0548', 'SCO2390', 'SCO1266']
EX_n2o_LPAREN_e_RPAREN_	['']
AGPATi170	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
CLPNSIIi150	['SCO1389']
CCCR	['SCO6473']
HPPK2	['SCO3401']
D_DASH_LACt2	['SCO3029']
ACACT1r	['SCO5399', 'SCO6788', 'SCO1324', 'SCO4502', 'SCO6027']
PINOSai150	['SCO1527']
UREAt	['SCO1659', 'SCO4057']
PFK_3	['SCO5426', 'SCO2119', 'SCO1214']
PFK_2	['SCO5426', 'SCO2119', 'SCO1214']
AGPATai170	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
Piuabc	[['SCO4139', 'SCO4140', 'SCO4141', 'SCO4142'], 'SCO2428', ['SCO6814', 'SCO6815', 'SCO6816']]
NTPTP1	['SCO2470']
EARi60x	['SCO1814']
EARi60y	['SCO1814']
PSD140	['SCO6468']
PSD141	['SCO6468']
GLYK	['SCO0509', 'SCO1660', 'SCO7004']
EPMt2	['']
MECDPDH2	['SCO5696', 'SCO6767']
IGPDH	['SCO2052']
APG3PATi150	['']
REDS33	[['SCO5878', 'SCO5890']]
REDS32	[['SCO2387', 'SCO5890']]
REDS31	['SCO5878']
REDS30	['SCO5879']
PGSA161	['SCO5753']
PGSA160	['SCO5753']
REDS35	['SCO5895']
REDS34	['SCO5890']
EX_his_DASH_L_LPAREN_e_RPAREN_	['']
3HAD160	['']
3HAD161	['']
DHQTi	['SCO1961']
DCH	['SCO2758', 'SCO2786', 'SCO2943', 'SCO4860']
PPCOAC	[['SCO2776', 'SCO2777'], ['SCO4380', 'SCO4381'], 'SCO4921', ['SCO4925', 'SCO4926', 'SCO6271']]
THRD	['SCO6799']
RBFSb	['SCO1443']
DABAAT	['SCO1865', 'SCO5799']
GLDBRAN2	['SCO7338', 'SCO5456', 'SCO6082']
THRS	['SCO4293', 'SCO5355']
CLPNS181	['SCO7081']
CLPNS180	['SCO7081']
3HADi70	['']
QULNS	['SCO2162']
EPMEACPR	['SCO1814']
ASNS1	['SCO0386']
H2O2t	['s0001']
NTD11e	['SCO4152']
EX_xyl_DASH_D_LPAREN_e_RPAREN_	['']
ACPPAT141	['']
ACPPAT140	['']
PEAMNO	['']
EGMEACPR	['SCO1814']
EX_trp_DASH_L_LPAREN_e_RPAREN_	['']
DINSt2	['']
EX_sbt_DASH_D_LPAREN_e_RPAREN_	['']
EARi80y	['SCO1814']
3OAR121	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
BCOATA	['SCO1271', 'SCO2388', ['SCO2389', 'SCO6564'], 'SCO0549', 'SCO1267', 'SCO1272']
SUCR	['SCO1394', 'SCO2228', 'SCO3780', 'SCO7010']
3OAR120	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
DDGLCNt2r	['']
ACPPATi140	['']
FUMAC	['SCO4580']
3OARi180	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
PGSA181	['SCO5753']
PGSA180	['SCO5753']
GLYt2r	['SCO2914']
MDDEP4	['SCO6131', 'SCO4439']
MDDEP1	['SCO6131', 'SCO4439']
MDDEP2	['SCO6131', 'SCO4439']
MDDEP3	['SCO6131', 'SCO4439']
MN2t3	['SCO0776', 'SCO1310', 'SCO2772', 'SCO6751']
ADNUC	['SCO3779']
MALACPMT	['']
ACPS1	['SCO4744']
CIGAMS	['SCO1663']
NTD7e	['SCO4152']
AICART	['SCO4814']
3OAR90	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
COBALT2t3	['SCO0776', 'SCO1310', 'SCO2772', 'SCO6751']
GPDDA4e	['SCO1565', 'SCO1968', 'SCO7550']
GLNTRS	['']
UMPK	['SCO5626', 'SCO1760']
ADK4i	['SCO4723']
AMPTASEPG	['SCO2018', 'SCO2635', 'SCO2643']
DMPPS	['SCO5058']
PYRt2r	['']
ACOAD3f	['SCO1690', 'SCO2774', 'SCO6787']
EARi150y	['SCO1814']
EARi150x	['SCO1814']
EARai130x	['SCO1814']
UAGCVT	['SCO2949', 'SCO5998']
3HADai90	['']
NOt	['s0001']
HADPCOADH3	['SCO1591', 'SCO3834', 'SCO5385']
EX_asp_DASH_L_LPAREN_e_RPAREN_	['']
CTPS2	['SCO1776']
CTPS1	['SCO1776']
URAt2r	['SCO1450']
EAR130y	['SCO1814']
EAR130x	['SCO1814']
ACGApts	[['SCO1391', 'SCO2905', 'SCO2906', 'SCO2907', 'SCO5841']]
AHSERL2r	['SCO1294', 'SCO4958']
EX_taur_LPAREN_e_RPAREN_	['']
CS	['SCO2736', 'SCO4388', 'SCO5832']
FALDt	['s0001']
DM_ACT	['']
CITt7	['SCO2144']
CITt3	['']
EX_zn2_LPAREN_e_RPAREN_	['']
CPPPGO2	['SCO2559']
FEOXAMEabc	['SCO2780']
TMPK	['SCO5562']
RBFK	['SCO5711']
ACPScda	['SCO6673']
EX_drib_LPAREN_e_RPAREN_	['']
DURIK1	['SCO5845']
MALTHXabc	[['SCO2229', 'SCO2230', 'SCO2231', 'SCO4240']]
PYDAMt	['']
3OAS130	['SCO0548', 'SCO2390', 'SCO1266']
ACACT2r	['SCO6788', 'SCO1324', 'SCO4502', 'SCO6027']
FEOXAMER2	['']
EX_23cgmp_LPAREN_e_RPAREN_	['']
PYDAMK	['']
FEOXAMER3	['']
METTRS	['SCO3792', 'SCO6436']
EX_fe3_LPAREN_e_RPAREN_	['']
PAPAi160	['']
ALATRS	['SCO1501']
PSSAi150	['SCO6467']
ALDD1	['SCO4055']
CELBabc	[['SCO2795', 'SCO2796', 'SCO2797', 'SCO4240'], ['SCO4240', 'SCO7555', 'SCO7556', 'SCO7557']]
UDPG4E	['SCO2988', 'SCO3137', 'SCO3326', 'SCO3739']
PTPATi	['SCO5568']
AGPATi160	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
CLt3_2	['SCO5964', 'SCO6320']
X5PL3E	['']
NTD10e	['SCO4152']
PAPA170	['']
AGPAT140	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
AGPAT141	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
EX_spmd_LPAREN_e_RPAREN_	['']
GLNS	['SCO2198', 'SCO2210']
ACPPATi180	['']
URIH	['SCO3779']
URIC	[['SCO6210', 'SCO6211']]
PSD150	['SCO6468']
EX_k_LPAREN_e_RPAREN_	['']
RMNabc	[['SCO0808', 'SCO0809', 'SCO0810', 'SCO0811']]
EARai70y	['SCO1814']
EARai70x	['SCO1814']
PGSA170	['SCO5753']
DDPGA	['SCO0852', 'SCO2298', 'SCO3473', 'SCO3495']
3HAD110	['']
HMGL	['SCO2778']
NDPK6	['SCO2612']
NDPK7	['SCO2612']
CDAS9x	['SCO1814']
CDAS9y	['SCO1814']
DM_GERMA	['']
DM_GERMC	['']
DM_GERMB	['']
EARi70y	['SCO1814']
EARi70x	['SCO1814']
WCOS	['SCO3181', 'SCO3827']
METS	['SCO1657']
3OASi160	['SCO0548', 'SCO2390', 'SCO1266']
PROD2	['']
REPHACCOAI	['SCO5144']
PAPAai170	['']
DHFUTALS	['SCO4550']
GPDDA5e	['SCO1565', 'SCO1968', 'SCO7550']
ACPPAT150	['']
EX_pacald_LPAREN_e_RPAREN_	['']
NAt3_2	['SCO0015', 'SCO0285', 'SCO3564', 'SCO7832']
DM_GERMD	['']
EX_ins_LPAREN_e_RPAREN_	['']
APH161	['SCO5576']
GLYCDx	['SCO6754']
RBP4E	['']
PGSAi180	['SCO5753']
ACOAD4f	['SCO1690', 'SCO2774', 'SCO6787']
GALS3	['SCO0274', 'SCO0541']
GLYBt2	['SCO1225', 'SCO2336', 'SCO7395']
HEXTT	['SCO4583']
METSOXR2	[['SCO0885', 'SCO6061'], 'SCO3889', 'SCO5419', 'SCO5438']
3NTD2e	['SCO2015']
DXYLK	['SCO1170', 'SCO2462']
PAPPT3	['SCO2087']
PTRCt2	['SCO5057']
APG3PATi180	['']
FLVR	['SCO6102']
EX_5mtr_LPAREN_e_RPAREN_	['']
3HADi60	['']
EAR90x	['SCO1814']
ADOCBLS	['SCO2177']
DM_5DRIB	['']
LADGMDH	['SCO1948']
